"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","CPIFORECAST","TOT","AGRWTH","A","2021",5.68920847683738,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2022",7.89627619227837,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2023",5.8848184515387,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1992",1.01455670167446,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1993",1.28820957608381,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1994",1.74537612861731,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1995",3.75494077917942,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1996",2.28571424238518,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1997",1.18715083833038,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1998",1.26524037415926,
"NZL","CPIFORECAST","TOT","AGRWTH","A","1999",-0.114266288773332,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2000",2.61523279599192,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2001",2.62582060036648,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2002",2.67709072115149,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2003",1.75357634573624,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2004",2.29024942334692,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2005",3.03702066022214,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2006",3.36540446809807,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2007",2.3761433366278,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2008",3.95894425130039,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2009",2.11565589221535,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2010",2.302025767694,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2011",4.02790277235669,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2012",1.05991781376052,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2013",1.13441780001239,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2014",1.2275132603475,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2015",0.292703309026672,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2016",0.646237225422579,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2017",1.85078707071919,
